Norma,Número,Link,Publicación,Descripción
LEY,31010,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201604851&View,27/03/2020,"LEY QUE INCORPORA LA TERCERA DISPOSICIÓN TRANSITORIA DE LA LEY 26859, LEY ORGÁNICA DE ELECCIONES"
LEY,31011,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201604895&View,27/03/2020,LEY QUE DELEGA EN EL PODER EJECUTIVO LA FACULTAD DE LEGISLAR EN DIVERSAS MATERIAS PARA LA ATENCIÓN DE LA EMERGENCIA SANITARIA PRODUCIDA POR EL COVID-19
LEY,31012,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201603846&View,28/03/2020,LEY DE PROTECCIÓN POLICIAL
LEY,31013,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201601711&View,28/03/2020,"LEY QUE MODIFICA EL ARTÍCULO 34 DE LA LEY 29459, LEY DE LOS PRODUCTOS FARMACÉUTICOS, DISPOSITIVOS MÉDICOS Y PRODUCTOS SANITARIOS"
LEY,31014,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201602620&View,28/03/2020,LEY QUE REGULA EL USO DE SUSTANCIAS MODELANTES EN TRATAMIENTOS CORPORALES CON FINES ESTÉTICOS Y DEFINE DICHO PROCEDIMIENTO COMO ACTO MÉDICO
LEY,31015,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201603019&View,28/03/2020,"LEY QUE AUTORIZA LA EJECUCIÓN DE INTERVENCIONES EN INFRAESTRUCTURA SOCIAL BÁSICA, PRODUCTIVA Y NATURAL, MEDIANTE NÚCLEOS EJECUTORES"
LEY,31016,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201604947&View,06/04/2020,LEY QUE ESTABLECE MEDIDAS PARA DESPLIEGUE DEL CONTROL SIMULTÁNEO DURANTE LA EMERGENCIA SANITARIA POR EL COVID-19
LEY,31017,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201604868&View,01/05/2020,LEY QUE ESTABLECE MEDIDAS PARA ALIVIAR LA ECONOMÍA FAMILIAR Y DINAMIZAR LA ECONOMÍA NACIONAL EN EL AÑO 2020
LEY,31018,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201604951&View,09/05/2020,"LEY QUE SUSPENDE EL COBRO DE PEAJES EN LA RED VIAL NACIONAL, DEPARTAMENTAL Y LOCAL CONCESIONADA, DURANTE EL ESTADO DE EMERGENCIA NACIONAL DECLARADO A CAUSA DEL BROTE DEL COVID-19"
RESOLUCION LEGISLATIVA,31019,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201604523&View,10/05/2020,RESOLUCIÓN LEGISLATIVA QUE APRUEBA EL ACUERDO DE SEDE ENTRE LA REPÚBLICA DEL PERÚ Y LA OFICINA DEL ALTO COMISIONADO DE LAS NACIONES UNIDAS PARA LOS REFUGIADOS (ACNUR)
LEY,31020,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201605326&View,28/05/2020,"LEY QUE DELEGA EN EL PODER EJECUTIVO LA FACULTAD DE LEGISLAR EN MATERIA PENAL, PROCESAL PENAL Y PENITENCIARIA A FIN DE ESTABLECER MEDIDAS PARA EL DESHACINAMIENTO DE ESTABLECIMIENTOS PENITENCIARIOS Y CENTROS JUVENILES POR RIESGO DE CONTAGIO DE VIRUS COVID-19"
LEY,31021,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201605023&View,03/06/2020,LEY QUE RECONOCE COMO HÉROES DE BATALLA CONTRA EL CORONAVIRUS A LOS SERVIDORES PÚBLICOS Y MIEMBROS DE ORGANIZACIONES SOCIALES FALLECIDOS A CAUSA DE LA LUCHA CONTRA EL CORONAVIRUS (COVID-19)
LEY,31022,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201605228&View,03/06/2020,LEY QUE PRESERVA EL CARÁCTER INTANGIBLE DEL RETIRO EXTRAORDINARIO DE FONDOS DEL SISTEMA PRIVADO DE PENSIONES DE LA LEY 31017
RESOLUCION LEGISLATIVA,31023,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201604398&View,13/06/2020,"RESOLUCIÓN LEGISLATIVA QUE CONCEDE PENSIÓN DE GRACIA A DON CARLOS AUGUSTO EUGENIO POSTIGO MIRANDA, POR SU DESTACADA LABOR COMO MÚSICO, ARREGLISTA E INTÉRPRETE Y DIFUSOR DE LA MÚSICA CRIOLLA"
LEY,31024,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201603298&View,16/06/2020,LEY QUE DISPONE EL USO DE LA FIRMA DIGITAL EN LA REMISIÓN DE LA INFORMACIÓN A LA COMISIÓN DE PRESUPUESTO Y CUENTA GENERAL DE LA REPÚBLICA DEL CONGRESO DE LA REPÚBLICA
LEY,31025,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201605098&View,18/06/2020,LEY QUE INCORPORA A LA ENFERMEDAD CAUSADA POR EL COVID-19 DENTRO DEL LISTADO DE ENFERMEDADES PROFESIONALES DE LOS SERVIDORES DE LA SALUD
LEY,31026,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201605429&View,30/06/2020,"LEY QUE DECLARA DE URGENTE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA PROMOCIÓN, ELABORACIÓN, ENVASADO, ALMACENAMIENTO, DISTRIBUCIÓN Y ABASTECIMIENTO DEL OXÍGENO MEDICINAL"
LEY,31027,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201604865&View,01/07/2020,"LEY QUE MODIFICA LOS ARTÍCULOS 8 Y 9 DEL DECRETO LEGISLATIVO 1156, QUE DICTA MEDIDAS DESTINADAS A GARANTIZAR EL SERVICIO PÚBLICO DE SALUD EN LOS CASOS EN QUE EXISTA UN RIESGO ELEVADO O DAÑO A LA SALUD Y LA VIDA DE LAS POBLACIONES"
LEY,31028,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201605020&View,14/07/2020,"LEY QUE DECLARA LA INAPLICABILIDAD DE LAS DISPOSICIONES ESTABLECIDAS EN LA LEY 28094, LEY DE ORGANIZACIONES POLÍTICAS, REFERIDAS A LAS ELECCIONES PRIMARIAS PARA LAS ELECCIONES GENERALES 2021, EN EL MARCO DE LA EMERGENCIA NACIONAL SANITARIA OCASIONADA POR LA COVID - 19"
LEY,31029,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201605265&View,14/07/2020,"LEY QUE FACULTA A LAS COOPERATIVAS LA REALIZACIÓN DE SESIONES NO PRESENCIALES DE ASAMBLEA GENERAL, CONSEJOS Y COMITÉS"
LEY,31030,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201604626&View,23/07/2020,LEY POR LA QUE SE MODIFICAN NORMAS DE LA LEGISLACIÓN ELECTORAL PARA GARANTIZAR PARIDAD Y ALTERNANCIA DE GÉNERO EN LAS LISTAS DE CANDIDATOS
